0.491,0.014,0.006,0.054,1.22,1.49,81.5,24.5,30
0.981,0.027,0.013,0.108,2.43,3.04,80,14.9,19
1.472,0.041,0.019,0.162,3.65,4.53,80.5,10.6,13
1.962,0.055,0.026,0.217,4.86,6.13,79.3,11.6,15
2.453,0.069,0.032,0.271,6.08,7.62,79.7,10.5,13
2.943,0.084,0.039,0.325,7.29,9.23,79,10.9,14
3.434,0.097,0.045,0.379,8.51,10.72,79.4,10.4,13
2.943,0.086,0.04,0.325,7.29,9.5,76.7,11.8,15
2.453,0.071,0.033,0.271,6.08,7.9,76.9,10.8,14
1.962,0.058,0.027,0.217,4.86,6.41,75.8,13.3,18
1.472,0.044,0.02,0.162,3.65,4.81,75.8,11.8,16
0.981,0.029,0.014,0.108,2.43,3.2,75.8,20.4,27
0.491,0.014,0.007,0.054,1.22,1.6,75.8,21.5,28
